county_state,GOP_2020,Avg_Trump_vote,Vax_Pct,Vax_5Plus_Pct,Vax_12Plus_Pct,Vax_18Plus_Pct,Vax_65Plus_Pct,COVID_Deaths_Per_10K,All_Deaths_Per_10K,median_age
Wheeler County_TX,0.923833966,0.923833966,42.20000076,44.90000153,48.09999847,48.09999847,73.19999695,32.47,391.72,41.09999847
Jack County_TX,0.903754652,0.903754652,40.79999924,43.09999847,47.09999847,50.40000153,71.30000305,20.66,300.73,38.59999847
Winston County_AL,0.903491676,0.903491676,22.39999962,23.70000076,25.60000038,27.10000038,40.59999847,29.17,389.82,45.79999924
Hansford County_TX,0.903273106,0.903273106,42.70000076,46.20000076,52.20000076,57.29999924,83.69999695,36.83,298.51,34.79999924
Brantley County_GA,0.902438998,0.902438998,26.60000038,28.29999924,31.10000038,33.20000076,51.40000153,11.05,238.11,40.79999924
Haakon County_SD,0.902374685,0.902374685,43.29999924,46.09999847,50.5,54.40000153,81.5,65.4,648.5,45
Dewey County_OK,0.900381505,0.900381505,25.79999924,27.60000038,31.20000076,33.90000153,61.09999847,72.45,520.72,39.09999847
Hartley County_TX,0.898941278,0.898941278,47.70000076,50.59999847,54.79999924,58.09999847,53.29999924,42.62,411.34,39.59999847
Leslie County_KY,0.897776842,0.897776842,53.20000076,56.29999924,61.5,64,78.59999847,25.3,276.32,43.29999924
Cleburne County_AL,0.897191107,0.897191107,29.39999962,31.20000076,34.09999847,36.29999924,53.09999847,18.54,322.45,42.20000076
Glascock County_GA,0.895846665,0.895846665,33.70000076,35.29999924,38.79999924,41.70000076,67.80000305,51.39,387.12,43.79999924
Blount County_AL,0.895715535,0.895715535,32.59999847,34.70000076,37.90000153,39.90000153,54.90000153,17.28,293.69,41.20000076
Gaines County_TX,0.893244386,0.893244386,22.10000038,24.70000076,28.5,31.70000076,52.70000076,12.79,142.04,28.10000038
Jackson County_KY,0.892033398,0.892033398,37.5,40,43.70000076,45.79999924,59.59999847,10.01,245.69,41.90000153
Coke County_TX,0.891512096,0.891512096,47.29999924,50.40000153,53.40000153,55,60.09999847,30.11,490.82,45.59999847
Holmes County_FL,0.891045451,0.891045451,30.10000038,31.89999962,34.5,36.59999847,60.59999847,30.33,452.89,42.09999847
Ochiltree County_TX,0.891001284,0.891001284,38.59999847,42,47.90000153,51.79999924,77.30000305,34.76,211.61,32.90000153
Stephens County_TX,0.890789449,0.890789449,36.79999924,39,42.29999924,45.5,66.19999695,22.89,277.99,40.59999847
Lipscomb County_TX,0.890613437,0.890613437,34.29999924,36.40000153,40.5,44.40000153,67.40000153,34.12,187.65,40.20000076
Major County_OK,0.889529824,0.889529824,51.09999847,54.79999924,60.79999924,65.19999695,94.40000153,41.73,363.85,41.29999924
Martin County_KY,0.88821137,0.88821137,55.20000076,57.79999924,62.40000153,64.80000305,70.19999695,11.67,254.04,40.09999847
Crook County_WY,0.886380196,0.886380196,31.70000076,34.20000076,37.70000076,40.29999924,67.90000153,23.24,313.06,43.40000153
Banks County_GA,0.885694802,0.885694802,31.20000076,33.09999847,36.09999847,38.29999924,58.70000076,5.93,200.95,41.79999924
Sheridan County_KS,0.885468841,0.885468841,36.79999924,39.09999847,42.70000076,46,63.5,44.39,443.91,42.09999847
Mills County_TX,0.885029912,0.885029912,43,44.90000153,48,51,65.90000153,44.64,455.36,48.79999924
Ness County_KS,0.884330869,0.884330869,53.70000076,56.29999924,61.29999924,62.70000076,83.40000153,56.14,449.1,46.59999847
Scott County_TN,0.884224474,0.884224474,37.5,39.90000153,43.70000076,47.20000076,69.19999695,23.27,346.31,40.40000153
Grant County_WV,0.884189487,0.884189487,46.09999847,48.79999924,52.29999924,54.90000153,68.59999847,44.61,478.92,47.20000076
Marion County_AL,0.88397187,0.88397187,37.09999847,39.20000076,42.5,45,63.90000153,43.42,436.98,43.79999924
Clay County_TX,0.882947206,0.882947206,44.5,46.5,50.29999924,53.40000153,73,19.49,271.85,46.70000076
Coleman County_TX,0.882880688,0.882880688,36.40000153,38.29999924,41.5,44.29999924,64.69999695,63.35,550.74,48.40000153
Duchesne County_UT,0.881393731,0.881393731,46,50.5,57.59999847,61.29999924,90.90000153,11.62,233.96,33.20000076
Owsley County_KY,0.881329119,0.881329119,48.5,52.09999847,55.79999924,57.59999847,73.90000153,25.3,424.99,42.79999924
Cullman County_AL,0.881221473,0.881221473,38.90000153,41.5,45.29999924,47.90000153,71.40000153,46.04,426.61,41
Callahan County_TX,0.879976571,0.879976571,41.90000153,44.40000153,47.90000153,50.29999924,69.40000153,15.59,246.55,43.29999924
McCreary County_KY,0.879776299,0.879776299,40,42.40000153,45.90000153,48.09999847,64.19999695,9.47,209.57,39.40000153
Clay County_KY,0.879594266,0.879594266,45.79999924,48.70000076,52.5,54.59999847,70.69999695,38.6,379.1,40
Bear Lake County_ID,0.879034698,0.879034698,47.40000153,50.90000153,56.79999924,61,93.69999695,18.33,285.71,39.5
Gray County_TX,0.87895143,0.87895143,41,43.90000153,48.59999847,51.40000153,73.40000153,59.44,390.87,38
George County_MS,0.877892256,0.877892256,41.09999847,44.40000153,49.70000076,53.40000153,88.69999695,31.5,352.96,36.20000076
Montague County_TX,0.877827585,0.877827585,35.20000076,37.29999924,40.70000076,43.59999847,65.30000305,29.89,380.22,43.09999847
Baylor County_TX,0.877790809,0.877790809,41,43.59999847,48.20000076,51.90000153,76.19999695,46.02,534.94,43.90000153
Millard County_UT,0.877272725,0.877272725,46.5,50.29999924,56.59999847,61,76,9.88,259.04,35.40000153
Weston County_WY,0.877188027,0.877188027,38.70000076,40.79999924,44,46.59999847,72.69999695,17.79,326.17,44.70000076
Franklin County_ID,0.877100825,0.877100825,46,49.59999847,55.59999847,61.20000076,92.30000305,11.59,236.6,34.20000076
Gove County_KS,0.876482904,0.876482904,48.90000153,51.79999924,56.79999924,60.29999924,77.90000153,83.48,457.35,42.09999847
Hutchinson County_TX,0.875726819,0.875726819,35.40000153,37.90000153,42,45.20000076,67,33.67,330.32,38.79999924
Sevier County_UT,0.873492241,0.873492241,45,48.59999847,53.70000076,56.79999924,83.19999695,9.59,285.31,36.79999924
Pierce County_GA,0.872996569,0.872996569,34.20000076,36.59999847,40.5,43.59999847,68.19999695,9.51,227.27,39.70000076
Eastland County_TX,0.872768939,0.872768939,37,39.29999924,42.40000153,45.29999924,68.19999695,29.67,415.92,42.09999847
Sabine County_TX,0.871878982,0.871878982,36.90000153,38.70000076,41.40000153,44.09999847,59.70000076,26.9,487.1,53.40000153
Itawamba County_MS,0.871790111,0.871790111,35.5,37.59999847,41,43.20000076,69.30000305,11.33,278.55,39.70000076
Beaver County_UT,0.869354844,0.869354844,49.09999847,53.59999847,61.20000076,66.40000153,94.09999847,15.17,280.04,34.29999924
Wayne County_TN,0.868945897,0.868945897,41.70000076,43.40000153,46,47.70000076,72.69999695,20.72,351.64,43.70000076
Monroe County_KY,0.868292689,0.868292689,47,50.40000153,54.90000153,57.59999847,78.09999847,43.62,377.46,42.20000076
Clinton County_KY,0.867802083,0.867802083,42.20000076,44.79999924,48.90000153,52,68.59999847,31.3,365.89,43
Phillips County_KS,0.867732584,0.867732584,44.40000153,46.90000153,50.90000153,54.29999924,75,41.54,367.6,45.40000153
Campbell County_WY,0.86757642,0.86757642,31.79999924,34.29999924,38.29999924,41,75.40000153,30.39,215.94,36
Leon County_TX,0.867304564,0.867304564,36.09999847,38.40000153,42,44.5,62.90000153,10.03,289.49,44.79999924
Tishomingo County_MS,0.867278874,0.867278874,39.59999847,41.90000153,45.5,48.20000076,74.30000305,35.2,494.93,43.40000153
Juab County_UT,0.867200792,0.867200792,37.90000153,41.40000153,47.70000076,52.20000076,81.09999847,9.05,239.41,30
Garfield County_NE,0.867100358,0.867100358,31.10000038,32.79999924,34.79999924,36.40000153,47.79999924,54.38,663.4,50.29999924
Stevens County_KS,0.866800189,0.866800189,40.59999847,43.20000076,47.90000153,51,62.20000076,22.67,260.72,36.70000076
Uintah County_UT,0.86633569,0.86633569,44.5,48.40000153,54.29999924,56.59999847,82.5,12.98,221.8,32.70000076
Mercer County_MO,0.866216958,0.866216958,36.90000153,39.59999847,43.09999847,46.70000076,63.40000153,28.67,326.83,44.20000076
Haralson County_GA,0.865506113,0.865506113,34,36.29999924,39.90000153,42.59999847,69,13.74,301.91,38.70000076
Emery County_UT,0.86474818,0.86474818,46.79999924,49.90000153,55.90000153,60,85.5,12.04,263.87,37.90000153
Geneva County_AL,0.864726961,0.864726961,41,43.40000153,47.29999924,50.40000153,74.59999847,37.45,420.21,43.5
Hancock County_TN,0.8644315,0.8644315,33.09999847,35,38,40.5,53.59999847,17.68,371.3,44.40000153
Grant Parish_LA,0.86424619,0.86424619,43.90000153,46.5,50.5,53.20000076,70.90000153,13.04,264.44,37.70000076
Bollinger County_MO,0.863613546,0.863613546,33.79999924,35.59999847,38.79999924,41,60.40000153,18,312.62,44.29999924
Runnels County_TX,0.863461077,0.863461077,44.09999847,46.79999924,51.09999847,54.40000153,77,47.27,412.35,40.79999924
Lavaca County_TX,0.863391221,0.863391221,41.90000153,44.5,48.79999924,52.29999924,72.5,37.97,343.65,43.09999847
Hardin County_TX,0.863325477,0.863325477,38,40.5,44.59999847,47.20000076,72.69999695,11.06,225.72,39.09999847
Antelope County_NE,0.863243103,0.863243103,38,40.59999847,44.40000153,47,63.09999847,23.89,285.08,43.40000153
Young County_TX,0.862968802,0.862968802,41.40000153,44,48.5,51.5,71.5,36.16,472.83,41.09999847
Pierce County_NE,0.862911284,0.862911284,37.90000153,40.5,44.70000076,48,67.19999695,30.08,288.53,40.59999847
