Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
10/12/2022,28111,41,Perry County,MS,98.1,5248,43.8,5243,46.4,5170,50.4,4928,52.9,1596,71.4,4645,38.8,4643,41.1,260,13.1,4583,44.7,4383,47,1494,66.8,1627,35,1627,35,1625,35.5,1610,36.7,1312,47.4,820,54.9,229,17.5,163,19.9,C,9,9,9,9,9,11,Metro,1,1,1,1,1,3,10,10,10,10,2,2,2,2,11973,11309,1989,10263,9320,2235,,,,,,,,
10/12/2022,29227,41,Worth County,MO,91.3,978,48.6,978,51.2,971,55.5,946,58.4,422,80.8,849,42.2,849,44.4,22,7.5,844,48.2,827,51.1,380,72.8,388,45.7,388,45.7,388,46,386,46.7,328,53.7,232,61.1,125,38.1,98,42.2,A,1,1,1,1,2,3,Non-metro,5,5,5,5,6,7,3,3,3,2,7,7,7,6,2013,1911,292,1751,1619,522,,,,,,,,
10/12/2022,29031,41,Cape Girardeau County,MO,91.3,45182,57.3,45099,60.7,44109,65,41765,67.3,12634,93.6,39610,50.2,39564,53.3,2695,22,38904,57.4,36869,59.4,11547,85.5,17768,44.9,17768,44.9,17711,45.5,17373,47.1,12627,60.6,8241,71.4,4330,34.3,3340,40.5,B,6,6,5,6,6,8,Metro,2,2,1,2,2,4,7,7,7,7,3,3,3,3,78871,74284,12234,67808,62050,13503,,,,,,,,
10/12/2022,45063,41,Lexington County,SC,93,198103,66.3,197062,70,189736,74.6,175677,76.4,48382,95,170917,57.2,170606,60.6,18167,35.1,164666,64.7,152439,66.3,42690,88.1,75679,44.3,75676,44.4,74953,45.5,72139,47.3,50291,59.3,29846,69.9,17129,34.1,11990,40.2,B,6,6,6,6,7,8,Metro,2,2,2,2,3,4,7,7,7,7,3,3,3,3,298750,281706,51798,254457,229908,48450,,,,,,,,
10/12/2022,55123,41,Vernon County,WI,96.8,18241,59.2,18107,63,17390,67.9,16150,70.8,5811,94.5,17292,56.1,17258,60.1,1830,30.9,16597,64.8,15428,67.6,5614,91.3,11349,65.6,11349,65.8,11236,67.7,10819,70.1,7953,79.2,4823,85.9,3994,50.2,2930,60.8,B,6,6,6,6,7,8,Non-metro,6,6,6,6,7,8,8,8,8,8,8,8,8,8,30822,28733,5922,25596,22811,6152,,,,,,,,
10/12/2022,19113,41,Linn County,IA,97.4,167701,74,166200,78.2,157729,82,145568,83.4,37056,95,154451,68.1,154019,72.4,18836,49.4,146445,76.1,135183,77.5,35125,95,93459,60.5,93459,60.7,91878,62.7,87388,64.6,54774,77.9,29633,84.4,27845,50.8,18523,62.5,A,3,3,3,3,3,4,Metro,3,3,3,3,3,4,4,4,4,4,4,4,4,4,226706,212609,38142,192403,174467,36853,,,,,,,,
10/12/2022,19151,41,Pocahontas County,IA,97.4,3795,57.3,3783,60.7,3734,65.9,3606,70.2,1478,95,3520,53.2,3518,56.4,145,13.2,3480,61.5,3373,65.6,1413,91.1,1990,56.5,1990,56.6,1987,57.1,1973,58.5,1706,71,1114,78.8,565,33.1,434,39,A,2,2,1,2,3,4,Non-metro,6,6,5,6,7,8,4,4,4,3,8,8,8,7,6619,6234,1096,5663,5138,1551,,,,,,,,
10/12/2022,13015,41,Bartow County,GA,89.1,46700,43.3,46624,46.2,45779,50.2,43319,52.8,12115,78,41079,38.1,41059,40.7,2730,14.4,40395,44.3,38329,46.7,11010,70.9,16269,39.6,16269,39.6,16220,40.2,15905,41.5,11693,52,6839,62.1,3177,27.2,2263,33.1,C,9,9,9,9,9,11,Metro,1,1,1,1,1,3,10,11,11,10,2,3,3,2,107738,100970,18923,91201,82047,15539,,,,,,,,
10/12/2022,46119,41,Sully County,SD,96.6,779,56,779,59.1,768,63.8,734,67.1,275,75.8,638,45.9,638,48.4,42,18.8,627,52.1,596,54.5,220,60.6,285,44.7,285,44.7,283,45.1,281,47.1,223,59,133,60.5,55,24.7,37,27.8,A,1,1,1,2,2,2,Non-metro,5,5,5,6,6,6,3,3,3,2,7,7,7,6,1391,1317,223,1203,1094,363,,,,,,,,
10/12/2022,08069,41,Larimer County,CO,97.1,277059,77.6,274564,80.9,261943,83.9,244711,85,59476,95,249778,70,248541,73.2,26814,51.9,237744,76.1,221727,77.1,55824,95,153325,61.4,153324,61.7,151020,63.5,143928,64.9,81906,76.7,46494,83.3,45412,55.4,29747,64,A,3,3,4,3,3,4,Metro,3,3,4,3,3,4,4,4,4,4,4,4,4,4,356899,339418,51651,312264,287767,57774,,,,,,,,
