Date_as_of,Start_Date,End_Date,State,County_name,FIPS_County_Code,Urban_Rural_Code,Deaths_involving_COVID-19,Deaths_from_All_Causes,Footnote
4/12/2023,1/1/2020,4/8/2023,AK,Aleutians East Borough,2013,Noncore,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards
4/12/2023,1/1/2020,4/8/2023,AK,Anchorage Municipality,2020,Medium metro,766,8346,
4/12/2023,1/1/2020,4/8/2023,AK,Bethel Census Area,2050,Noncore,40,375,
4/12/2023,1/1/2020,4/8/2023,AK,Denali Borough,2068,Noncore,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards
4/12/2023,1/1/2020,4/8/2023,AK,Dillingham Census Area,2070,Noncore,,108,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards
4/12/2023,1/1/2020,4/8/2023,AK,Fairbanks North Star Borough,2090,Small metro,201,1988,
4/12/2023,1/1/2020,4/8/2023,AK,Hoonah-Angoon Census Area,2105,Noncore,,43,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards
4/12/2023,1/1/2020,4/8/2023,AK,Juneau City and Borough,2110,Micropolitan,18,624,
4/12/2023,1/1/2020,4/8/2023,AK,Kenai Peninsula Borough,2122,Noncore,91,1417,
4/12/2023,1/1/2020,4/8/2023,AK,Ketchikan Gateway Borough,2130,Micropolitan,17,341,
4/12/2023,1/1/2020,4/8/2023,AK,Kodiak Island Borough,2150,Noncore,,219,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards
4/12/2023,1/1/2020,4/8/2023,AK,Matanuska-Susitna Borough,2170,Medium metro,241,2462,
4/12/2023,1/1/2020,4/8/2023,AK,Nome Census Area,2180,Noncore,,204,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards
4/12/2023,1/1/2020,4/8/2023,AK,North Slope Borough,2185,Noncore,,132,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards
