Trump_Vote_Decile,Vax_Pct,Vax_5Plus_Pct,Vax_12Plus_Pct,Vax_18Plus_Pct,Vax_65Plus_Pct,COVID_mortality_Per_10K,All_mortality_Per_10K
1,0.405269201,0.430573683,0.468179792,0.498703733,0.704231243,28.28266535,334.3512297
2,0.432431343,0.458658271,0.496647228,0.52588772,0.732099011,29.44608222,342.0373944
3,0.468177694,0.495778714,0.534336955,0.562830266,0.77074503,34.70974257,364.5831458
4,0.481552423,0.510356874,0.549670362,0.577592358,0.787602723,34.04176296,345.2614421
5,0.502861301,0.532946024,0.57163092,0.598009053,0.798545845,41.48904778,375.334382
6,0.526933538,0.558024946,0.596370395,0.621979573,0.81728831,36.20404907,361.1821323
7,0.577790317,0.610192773,0.648347999,0.670876406,0.858112493,35.16082129,355.8734032
8,0.60344435,0.638780855,0.677509423,0.699255708,0.867111989,35.12122953,343.6951323
9,0.652198205,0.690575443,0.729292023,0.748447889,0.888080295,35.52889222,327.462226
10,0.734879671,0.775659944,0.805915961,0.818766679,0.900208708,32.32809288,308.4695093
