STNAME,CTYNAME,YEAR,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,POPESTIMATE,UNDER5_TOT,AGE18PLUS_TOT,AGE65PLUS_TOT
AL,Autauga County,1,39.2,38,40.2,58805,3486,44963,9217
AL,Autauga County,2,39.2,38,40.3,58877,3480,45023,9273
AL,Autauga County,3,39.3,38.3,40.3,59095,3388,45263,9484
AL,Baldwin County,1,43.7,42.6,44.8,231767,12220,181979,48517
AL,Baldwin County,2,43.8,42.6,44.9,233140,12176,183208,49125
AL,Baldwin County,3,44,42.8,45,239294,12252,188520,51376
AL,Barbour County,1,40.8,39,44,25223,1341,19966,4963
AL,Barbour County,2,40.8,39,43.9,25180,1342,19931,4960
AL,Barbour County,3,41.2,39.3,44.2,24964,1307,19834,4987
AL,Bibb County,1,40.2,38.6,42.6,22293,1231,17751,3693
AL,Bibb County,2,40.3,38.6,42.7,22223,1219,17708,3691
AL,Bibb County,3,40.3,38.7,42.8,22477,1180,17955,3762
AL,Blount County,1,41.1,40.3,41.9,59134,3504,45427,10918
AL,Blount County,2,41.1,40.4,41.9,59081,3474,45418,10927
AL,Blount County,3,41.2,40.5,41.9,59041,3433,45430,11056
AL,Bullock County,1,39.7,38.3,41.8,10357,583,8162,1766
AL,Bullock County,2,39.8,38.3,41.9,10309,577,8118,1772
AL,Bullock County,3,39.8,38.4,42.3,10320,579,8119,1816
AL,Butler County,1,42,39.2,44.3,19051,1069,14782,3938
AL,Butler County,2,42,39.4,44.3,19045,1066,14780,3962
AL,Butler County,3,42.1,39.5,44.3,18884,1072,14623,4011
AL,Calhoun County,1,40.1,38.6,41.4,116441,6627,91137,20924
AL,Calhoun County,2,40.1,38.6,41.4,116266,6602,90996,21002
AL,Calhoun County,3,40.1,38.7,41.5,115972,6580,90845,21411
AL,Chambers County,1,43,41.4,44.5,34772,1889,27506,6957
AL,Chambers County,2,43.1,41.5,44.5,34678,1870,27457,6972
AL,Chambers County,3,43.3,41.7,44.8,34541,1864,27385,7008
AL,Cherokee County,1,47.6,47.2,48,24971,1151,20242,5880
AL,Cherokee County,2,47.7,47.3,48.1,24958,1148,20253,5910
AL,Cherokee County,3,47.9,47.4,48.4,24996,1158,20283,5993
AL,Chilton County,1,39.8,39.1,40.5,45014,2740,34167,7638
AL,Chilton County,2,39.8,39.2,40.5,45024,2724,34208,7681
AL,Chilton County,3,40.1,39.4,40.8,45274,2710,34548,7908
AL,Choctaw County,1,46.5,45.1,48,12665,656,10132,2941
AL,Choctaw County,2,46.5,45.1,48,12619,660,10092,2946
AL,Choctaw County,3,46.8,45.3,48.3,12533,693,10009,2976
AL,Clarke County,1,42.9,41.4,44.1,23087,1288,18105,4670
AL,Clarke County,2,42.8,41.4,44.1,22995,1291,18026,4664
AL,Clarke County,3,42.7,41.3,43.9,22760,1328,17843,4660
AL,Clay County,1,44.4,43.2,45.4,14236,773,11298,2960
AL,Clay County,2,44.4,43.2,45.5,14193,766,11275,2969
AL,Clay County,3,44.8,43.7,45.7,14190,736,11282,3012
AL,Cleburne County,1,42.5,41.2,43.9,15056,919,11584,2981
AL,Cleburne County,2,42.5,41.2,43.9,15035,907,11566,2976
AL,Cleburne County,3,42.2,41.2,43.5,15103,910,11615,2975
AL,Coffee County,1,39.4,38,40.6,53465,3208,40748,9141
AL,Coffee County,2,39.4,38.1,40.6,53565,3197,40845,9162
AL,Coffee County,3,39.3,38,40.5,54174,3266,41205,9272
AL,Colbert County,1,42.2,40.7,43.7,57227,3261,45061,11408
AL,Colbert County,2,42.2,40.6,43.7,57236,3268,45057,11441
AL,Colbert County,3,42.3,40.7,43.7,57474,3209,45263,11641
AL,Conecuh County,1,45.7,44.7,46.5,11597,595,9195,2702
AL,Conecuh County,2,45.7,44.7,46.6,11552,597,9162,2705
AL,Conecuh County,3,46.3,44.9,47.4,11328,613,9047,2734
AL,Coosa County,1,49.6,49.2,49.9,10387,448,8668,2490
AL,Coosa County,2,49.7,49.3,50.1,10383,449,8669,2519
AL,Coosa County,3,50.1,49.7,50.5,10450,438,8755,2582
AL,Covington County,1,43.4,41.8,45,37570,2157,29219,7987
AL,Covington County,2,43.4,41.9,45,37469,2113,29165,7994
AL,Covington County,3,43.2,41.7,44.7,37524,2094,29244,8134
AL,Crenshaw County,1,41.8,40.3,43.4,13194,732,10166,2555
AL,Crenshaw County,2,41.8,40.2,43.4,13157,721,10146,2563
AL,Crenshaw County,3,41.6,40.5,42.6,13083,715,10081,2572
AL,Cullman County,1,40.9,40,41.9,87866,5232,68009,16320
AL,Cullman County,2,40.9,40,41.9,88044,5210,68180,16391
AL,Cullman County,3,41,39.9,41.9,89496,5125,69471,16749
AL,Dale County,1,38.1,36.3,39.8,49326,3253,37914,8531
AL,Dale County,2,38.1,36.3,39.8,49214,3241,37832,8560
AL,Dale County,3,38.2,36.4,39.9,49342,3251,37904,8750
AL,Dallas County,1,40.8,38.7,42.6,38462,2242,29376,7266
AL,Dallas County,2,40.9,38.8,42.7,38190,2226,29169,7280
AL,Dallas County,3,41.1,38.9,43,37619,2165,28824,7399
